date,sentiment_mean,sentiment_std,news_volume,log_volume,article_impact,goldstein_mean,goldstein_std,sentiment_min,sentiment_max,positive_ratio,negative_ratio,extreme_ratio,sentiment_lag1,sentiment_std_lag1,volume_lag1,goldstein_lag1,sentiment_lag2,sentiment_std_lag2,volume_lag2,goldstein_lag2,sentiment_lag3,sentiment_std_lag3,volume_lag3,goldstein_lag3,sentiment_ma5,sentiment_ma20,sentiment_momentum,sentiment_vol5,sentiment_vol10,volume_ma5,volume_sum5,volume_sum10
2015-02-19,-0.239898180294978,0.4152735211016,38,3.6635616461296463,-0.8788817723049763,-5.51578947368421,3.1936224536928757,-0.8577393293380737,0.9273017048835754,0.13157894736842105,0.5526315789473685,0.3684210526315789,,,,,,,,,,,,,,,,,,,,
2015-02-20,-0.3195790742082815,0.37486122984230896,38,3.6635616461296463,-1.1707976391750803,-5.834210526315789,3.3104520533884694,-0.9263900518417358,0.5385329127311707,0.02631578947368421,0.5263157894736842,0.47368421052631576,-0.239898180294978,0.4152735211016,38.0,-5.51578947368421,,,,,,,,,,,,,,,,
2015-02-21,-0.2523529801517725,0.36983118423216577,30,3.4339872044851463,-0.8665769048548808,-5.15,2.553265882485933,-0.9411143660545348,0.4294452369213104,0.06666666666666667,0.43333333333333335,0.23333333333333334,-0.3195790742082815,0.37486122984230896,38.0,-5.834210526315789,-0.239898180294978,0.4152735211016,38.0,-5.51578947368421,,,,,,,,,,,,
2015-02-22,-0.11768190573368753,0.2843082802782732,35,3.58351893845611,-0.42171533791027593,-7.728571428571429,2.7238178488051266,-0.8768964409828186,0.3408172726631164,0.05714285714285714,0.2571428571428571,0.14285714285714285,-0.2523529801517725,0.36983118423216577,30.0,-5.15,-0.3195790742082815,0.37486122984230896,38.0,-5.834210526315789,-0.239898180294978,0.4152735211016,38.0,-5.51578947368421,,,,,,,,
2015-02-23,-0.16497103914263703,0.44492480750982616,42,3.7612001156935624,-0.6204890915093736,-5.45952380952381,3.19754813239096,-0.9622890949249268,0.9041049480438232,0.19047619047619047,0.35714285714285715,0.38095238095238093,-0.11768190573368753,0.2843082802782732,35.0,-7.728571428571429,-0.2523529801517725,0.36983118423216577,30.0,-5.15,-0.3195790742082815,0.37486122984230896,38.0,-5.834210526315789,-0.21889663590627131,,,0.07881899645651014,,36.6,183.0,
2015-02-24,-0.22667869624305279,0.4974338853607333,47,3.871201010907891,-0.8775187980473887,-5.440425531914894,2.658639835774939,-0.946126103401184,0.897223949432373,0.1702127659574468,0.5531914893617021,0.48936170212765956,-0.16497103914263703,0.44492480750982616,42.0,-5.45952380952381,-0.11768190573368753,0.2843082802782732,35.0,-7.728571428571429,-0.2523529801517725,0.36983118423216577,30.0,-5.15,-0.21625273909588624,,,0.07815734363177285,,38.4,192.0,
2015-02-25,-0.3636618347271629,0.32387105056367244,23,3.1780538303479458,-1.1557368868060216,-5.5608695652173905,2.865497776081129,-0.8425478339195251,0.0809275656938552,0.0,0.6086956521739131,0.34782608695652173,-0.22667869624305279,0.4974338853607333,47.0,-5.440425531914894,-0.16497103914263703,0.44492480750982616,42.0,-5.45952380952381,-0.11768190573368753,0.2843082802782732,35.0,-7.728571428571429,-0.2250692911996625,,,0.09367327986995404,,35.4,177.0,
2015-02-26,-0.21067176700183532,0.3723921576545962,41,3.7376696182833684,-0.7874214629528326,-6.153658536585366,2.656432373800144,-0.9279302954673768,0.883787989616394,0.07317073170731707,0.36585365853658536,0.24390243902439024,-0.3636618347271629,0.32387105056367244,23.0,-5.5608695652173905,-0.22667869624305279,0.4974338853607333,47.0,-5.440425531914894,-0.16497103914263703,0.44492480750982616,42.0,-5.45952380952381,-0.2167330485696751,,,0.09248534716461897,,37.6,188.0,
2015-02-27,-0.12315443179437092,0.4137916282865888,35,3.58351893845611,-0.4413262386899295,-5.537142857142857,3.0919328873039658,-0.9581659436225892,0.7546963095664978,0.2,0.2857142857142857,0.2857142857142857,-0.21067176700183532,0.3723921576545962,41.0,-6.153658536585366,-0.3636618347271629,0.32387105056367244,23.0,-5.5608695652173905,-0.22667869624305279,0.4974338853607333,47.0,-5.440425531914894,-0.2178275537818118,,,0.09104119489660632,,37.6,188.0,
2015-02-28,-0.13588912830013652,0.3008062759977914,29,3.4011973816621555,-0.46218574737077706,-6.458620689655173,2.851317570984758,-0.9449408054351808,0.3320519626140594,0.034482758620689655,0.20689655172413793,0.20689655172413793,-0.12315443179437092,0.4137916282865888,35.0,-5.537142857142857,-0.21067176700183532,0.3723921576545962,41.0,-6.153658536585366,-0.3636618347271629,0.32387105056367244,23.0,-5.5608695652173905,-0.21201117161331168,,,0.09605329197348204,0.08291441400741786,35.0,175.0,358.0
2015-03-01,-0.18343282584100962,0.3465691017366283,40,3.713572066704308,-0.6811910181598094,-5.83,3.0957390070869995,-0.9239180088043212,0.8322060108184814,0.1,0.425,0.325,-0.13588912830013652,0.3008062759977914,29.0,-6.458620689655173,-0.12315443179437092,0.4137916282865888,35.0,-5.537142857142857,-0.21067176700183532,0.3723921576545962,41.0,-6.153658536585366,-0.20336199753290307,,,0.09634895446075568,0.08298741109491796,33.6,168.0,360.0
